"sedania_urls_link","sedania_urls_date_date","sedania_urls_date_user","sedania_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Apr 11, 2019 10:43 AM","k6m2y","Tomyam once you appear that means you will bring everyone ""tong san"" just shut your big ass mouth. Nothing more but a big shark"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Apr 11, 2019 4:34 PM","ccssam","i agreed with you k6m2y"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Apr 11, 2019 4:54 PM","Nazeri72","Bnyk untung Hari ini haha"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Apr 11, 2019 4:56 PM","nckcm","Not many ppl earn here.. so shark push themselves to start creating a nice chart"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Apr 11, 2019 4:57 PM","matg","nice closing"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Apr 11, 2019 6:27 PM","DON_JUAN","One UNCLE /Grandpa - FY from KENANGA Warns don't buy a Cap AYAM ..... This Sedania is a Cap Ayam counter
## Buy on Rumours
SELL ON NEWS......"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Apr 11, 2019 11:36 PM","milo","what happen?? what TP guys"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Apr 12, 2019 7:23 AM","nckcm","Sour grape ahhh"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Apr 12, 2019 7:41 AM","Primeinvestor","End of this month - huge contract for iot and greentech project
Esos at 13.5, smart management, confirm double up"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Apr 12, 2019 8:58 AM","DON_JUAN","SELL ON NEWS......
Trap....Trapp !"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Apr 12, 2019 9:14 AM","nckcm","Ahah no eye see this stock, chase high u die.. cuz all volume in their hands"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Apr 12, 2019 9:19 AM","milo","limit up what.."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 9:23 AM","Shinnzaii","P&D again...fintech ah...i like orion & revenue leh...hehe"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 9:25 AM","scjm","it is good no worry"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 9:27 AM","kimi","nice..."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 9:36 AM","scjm","a very strong prospect of a trend reversal from down to up"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 9:39 AM","Winner88","Delicious"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 9:47 AM","Beza","Why no floor price can reach, tklim?
tklim Floor price 0.005
04/01/2019 3:51 PM"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 9:48 AM","scjm","so just hold until it at least fill the gap at 31.5...good luck"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 9:54 AM","Beza","Reversal trend."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 10:20 AM","rr88","Wah brand new nice looking bubbly bubble. Either you make big or lose big."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 10:45 AM","rr88","Price doubled with company's move to invest rm70,000. Anything possible in the bolehland he he.."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 10:48 AM","apolloang","double or triple? all tipu up to them to do whatever they like.....same old manipulative old msia not msia baru"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 10:49 AM","Kingston1","Yahhhooooo!!!"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 10:50 AM","Kingston1","Thanks Tomyamgong sifu.. Untung banyak kali ini.. Haha"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 12:49 PM","TomyamGong","As I said, it will fly! Hoooooraayyyy!! 0.40 by next week for sure. It's not too late for u to get in now."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 1:27 PM","hklcheng","but i think today wil Close below 25"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 3:44 PM","rr88","Those dreamers who bought today better throw at a small loss now because monday there will be zero buyers in queue. Small pain better than big pain."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 3:50 PM","Beza","Fund is accumulating more than 382514 lots."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 3:51 PM","Beza","It cost about RM10 million."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 4:03 PM","ramada","Don't know which stupid bought at 31 sen."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 4:05 PM","ChoCho","next TP RM0.43"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 4:07 PM","apolloang","0.43 or 0.23? hehe"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 4:09 PM","Beza","From 9 cents to 23 cents already possible. Why laughing?"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 4:25 PM","ChoCho","immediate support at 0.22 to 0.31 range. if pump further, next TP RM0.43."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 4:43 PM","Beza","Very huge volume today."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 4:43 PM","Beza","Almost 20% of the total number of shares traded."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 4:44 PM","Beza","Who will be the new substantial shareholder(s)?"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 5:14 PM","sufian572","Trapped at 0.27
Have to 'peram' la...haiyyo"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 5:42 PM","Weeyaa","game over already..."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 7:11 PM","sufian572","It's not game over. It's the beginning"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 7:13 PM","nckcm","Game over la.. confirm.. u trapped at 0.27 sure say beginning.. why dont buy more then"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 9:32 PM","shortinvestor77","No worry. Be happy. Too much volume today, 41 mil shares transacted, far more than IPO day < 30 mil shares transacted. The buyer/investor/fund is accumulating two days already (yesterday around 10 mil shares transacted). Guess it will not stop here but to continue accumulating till 33.3% to trigger MGO. Tight your seat belt, buy popcorn to watch this show!"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 9:34 PM","nckcm","MGO? Who take over ?"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 10:35 PM","GeorgeToh","End of goreng and next Monday ppl will take the last profit before T+3 ..."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 12, 2019 10:49 PM","Antagantz","I just bought this morning at 31¢, pray hard it not over yet."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 13, 2019 8:15 AM","sufian572","I repeat, it's the beginning. The stock will fly to 50sen. But not in the near moment. I just can say.. It will gonna be my duit raya"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 13, 2019 8:26 AM","nckcm","Lol.. first time buy this stock ?? Remember what happen last 2 years.. company making profit also drop.. coming QR confirm still a loss.."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 13, 2019 9:08 AM","lachai2004","It's making losses every Qs, seem like no sign of reversal yet.Current speculation is more on Fintech theme play!"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 13, 2019 9:09 AM","nckcm","Fintech is even a lousy company if u study properly.. u want long term REVENUE is even better.."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 13, 2019 9:12 AM","lachai2004","Fintech= financial technology which is related Apps"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 13, 2019 9:16 AM","lachai2004","and internet of things"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 13, 2019 9:18 AM","nckcm","Got many friends stuck at 0.3 above, told them to grab lower price average, luckily manage to sell off. Come back when the company shows real stable income."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 13, 2019 10:44 AM","veronTeo","momentum still there. tp 0.4"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 13, 2019 10:49 AM","nckcm","Veron also kena trap ? Aiyo then can buy cheaper than u all liao. Yesterday many trap at 0.27-0.285"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 13, 2019 10:59 AM","aris743","20c buy"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 13, 2019 1:45 PM","slash8479","https://youtu.be/t2ZusnDzsFk"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 13, 2019 1:46 PM","slash8479","https://www.facebook.com/1697371993905770/posts/1978064339169866/?app=..."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 13, 2019 5:01 PM","sufian572","Duit raya is coming. Next week will be bit slow but still climbing"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 13, 2019 9:18 PM","stockhunter","lucky buy 0.125 last month sell 0.28 yesterday ..now buy back 0.225 sleeping beauty awake.."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 14, 2019 2:53 PM","zhangliang","yes! more to go agree. short term TP 31 sens , nd to brk resistance to move 2wards 40 sens"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=64","Apr 14, 2019 2:58 PM","nckcm","Wa dreamer.. after operator sell to u all at 0.225-0.27... so nice to let u earn fast ?"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 14, 2019 9:03 PM","shortinvestor77","We hope only keen shareholders are here to talk as this is the forum for us."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 15, 2019 10:14 AM","oldfox99","i kena trapped at 0.265....."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 15, 2019 10:15 AM","nckcm","Sorry oldfox . Tomorrow is T3.."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 15, 2019 10:21 AM","oldfox99","keep or cut loss?"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 15, 2019 10:28 AM","nckcm","Is up to u to decide"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 15, 2019 10:30 AM","oldfox99","keep laaaa....jangan takut...."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 15, 2019 12:25 PM","stockhunter","better keep and hold..let say drop lowest can buy to average the price.."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 15, 2019 7:16 PM","Hunter 8888","Better keep ler...."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 15, 2019 7:25 PM","hklcheng","i already bank in to take ticket lo...23"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 16, 2019 10:06 AM","TomyamGong","Very soon will rebound. Stay tuned guys."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 16, 2019 10:06 AM","TomyamGong","This time will go above 0.35 I think"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 16, 2019 10:12 AM","Hunter 8888","Yes,yes....buy more byak2"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 16, 2019 10:27 AM","oldfox99","buy now to leverage down......"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 16, 2019 4:33 PM","sufian572","Next week sure will be above 0.3"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 16, 2019 5:05 PM","Hunter 8888","Top up lor...."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 16, 2019 3:54 PM","sufian572","Nice pattern today... For sure wil shoit up again. This counter is very light to push up"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 16, 2019 5:09 PM","ramada","Yes, ""will""."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 16, 2019 5:12 PM","nckcm","Lol..."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 18, 2019 10:13 AM","Kingston1","Why deleted my comment ? If i3vestor dont allow people to comment just close shop then. Fuk u"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 18, 2019 10:31 AM","slash8479","coming"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 18, 2019 10:39 AM","commonsense","Not sure why the share price went up substantially from only 13 sens to more than 20 sens (even reaching 30 sens before paring most of the gain) last week. There was no corporate development announced since the run up of its share price.
In essence, the company reported negative earnings for FY18 with revenue falling more than 50% compared to FY17. In 2018 most of its business segments except for Fintech recorded losses. Investors need to wait for the 1Q19 result to see if the company managed to turnaround the IoT and Greentech businesses. The average quarterly revenue for 2Q18 to 4Q18 was only RM2.2mil vs FY17 average quarterly revenue of RM6.4mil during the same period. If the low revenue persists in FY19, investors need to be prepared for the company to record another year of losses in 2019.
If you are looking to hedge your portfolio outside of Sedania (due to its weak earnings outlook), I would recommend you to look at MBMR. (https://klse.i3investor.com/servlets/stk/pt/5983.jsp)
MBMR is a direct proxy to Perodua via its 22.6% interest in the company. Valuation is cheap at only 7.0x PE based on FY18 profit of RM166mil. PB is low at only 0.7x BV.
FY19 should deliver another profit growth year to the company. Profit growth will again be driven by the performance of Perodua (via MBMR 22.6% holdings in Perodua) from the still strong sales of new Myvi, sales of SUV Aruz and the introduction of the newly revamp Alza sometime in the 2H19. Aruz which commands a higher margin compared to other models, will help improve the total profit margin of Perodua (which will flow to MBMR’s bottom line as well).
MBMR is expected to achieve a profit of RM200mil in 2019. At the current share price, the company is being valued at only 5.8x which is a lot lower than the industry average of 15x PE. As an example, UMW (another company with exposure to Perodua) is currently trading at a PE multiple of almost 20x.
Good luck."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 18, 2019 3:44 PM","scjm","dont simply shiok shiok say sahaja"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 18, 2019 3:48 PM","scjm","cos mbmr's last close is a bearish engulfing"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 18, 2019 3:53 PM","scjm","sedania on consol with strong support at 18.5 fibo retracement 61.8% still above previous high 15"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 18, 2019 3:54 PM","scjm","with the bullish doji star still valid"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 18, 2019 4:18 PM","scjm","for aggressive traders 21.5 is a confirmed buy"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 18, 2019 4:21 PM","Kingston1","Super bull is back !! Gogogo"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 18, 2019 4:42 PM","scjm","then the profit target is 26 which is a 20% gain ...so it is not bad"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 18, 2019 8:10 PM","nckcm","Broke 0.21.. next stop will go 0.25."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 19, 2019 10:10 PM","matg","sell on news"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 19, 2019 10:43 AM","birkincollector","private placement at 0.115 only......."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 19, 2019 11:19 AM","rivter","RUN FOR UR LIFE~~"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 19, 2019 11:19 AM","rivter","Q AT 0.175~~"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 19, 2019 11:27 AM","FutureGains","safe 18"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 19, 2019 11:40 AM","matg","flush poor bilis.. rich bilis with holding power consider safe.."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 19, 2019 11:49 AM","nckcm","Hoho coming big..."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 19, 2019 11:56 AM","FutureGains","today pp 26m@11c listed
these boss fren catch water fish today"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 19, 2019 12:01 PM","nckcm","Shark help boss enter and earn first . Then later goreng again kikiki..."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 19, 2019 2:47 PM","TomyamGong","Flushing out weak player now, those who hold till the end will be the winner"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 19, 2019 5:20 PM","matg","rich bilis oso goyang ini mcm.. lol"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 19, 2019 5:22 PM","nckcm","Relek la. Bilis banyak return ticket to shark. Next week mari mari ong"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 19, 2019 10:05 PM","richard kh wong","Buy at 0.18"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 19, 2019 10:48 PM","shamsulyusoff","Already in...0.185. Hope next week SEDANIA fly...."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 22, 2019 9:43 AM","oldfox99","keep dropping....."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 22, 2019 10:03 AM","oldfox99","how ?"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 22, 2019 10:33 AM","Tim2812","Add more oil lo..."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 22, 2019 10:33 AM","Tim2812","No gas how to go go go."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 22, 2019 10:37 AM","oldfox99","knn, pls ask Tun to talk Sedania again....."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 22, 2019 10:43 AM","Tim2812","Tun bz going China meeting soon. Cal assistant dia tengah hilang diri leh.."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=65","Apr 22, 2019 10:45 AM","Tim2812","After lunch will fly fly fly butterfly..."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=66","Apr 22, 2019 10:47 AM","Tim2812","Sdh add liqou moly ceretech coming otw.."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=66","Apr 22, 2019 10:47 AM","oldfox99","wah lao....Tim2812 very optimistic.....good laa, fly fly fly....got hope is better than no hope...."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=66","Apr 22, 2019 10:51 AM","Tim2812","Hopefully u can cover n me can make sum lo"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=66","Apr 22, 2019 10:52 AM","Tim2812","ehh missed three big boats already n nw hopefully this small boat can Cari makan a bit lo"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=66","Apr 22, 2019 10:54 AM","Tim2812","Haiz.... ECRL all up...up....up....but ......me qqqq.....later gggg."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=66","Apr 22, 2019 10:56 AM","Tim2812","Oldfox all the best in this .....5G support."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=66","Apr 22, 2019 11:01 AM","oldfox99","i sangkut 0.26......thinking of leverage down and keep buying....but Sedania result cannot pakai laa.....really only rely on new project liaoooo"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=66","Apr 22, 2019 11:08 AM","fl888","pp was 11cts done"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=66","Apr 22, 2019 11:14 AM","Tim2812","Hopefully everything smoothly next session..."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=66","Apr 22, 2019 11:36 AM","oldfox99","pp was 11cts done.....now is 0.17-0.18.....and i sangkut 0.26......aiiiiii"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=66","Apr 22, 2019 1:28 PM","Hunter 8888","Relax.. game just started."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=66","Apr 22, 2019 1:30 PM","nckcm","Gone case lo"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=66","Apr 22, 2019 1:56 PM","oldfox99","knn nckcm, be positive laa"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=66","Apr 22, 2019 2:43 PM","Tim2812","Gambateh!!"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=66","Apr 22, 2019 5:39 PM","Hunter 8888","Tomorrow maybe up trend started."
