"jtiasa_urls_link","jtiasa_urls_date_date","jtiasa_urls_date_user","jtiasa_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800000681.jsp?ftp=110","Dec 12, 2018 1:00 PM","oregami","how do u correlate CPO price with JTiasa share price? any formula?"
"https://klse.i3investor.com/servlets/forum/800000681.jsp?ftp=110","Dec 12, 2018 1:10 PM","Shadows","Sorry oregami, I just using quick assumption considering the mature tree, landbank and refineries. The current price comparing to TaAnn. I accumulating this counter to pair down and I think is the good timing."
"https://klse.i3investor.com/servlets/forum/800000681.jsp?ftp=110","Dec 14, 2018 3:29 PM","cpo_king","The pendulum has swung to the negative side for palm oil industry.
The current weak CPO price which is 15% lower compared to the previous had not reflected into the next quarter financial report.
It's expected most of the plantation companies would be reported red card."
"https://klse.i3investor.com/servlets/forum/800000681.jsp?ftp=110","Dec 14, 2018 3:32 PM","cpo_king","I think CPO would continue to trade below Rm2000 trashold level and before crashing to the bottom of Rm1600 in Jun 2019"
"https://klse.i3investor.com/servlets/forum/800000681.jsp?ftp=110","Dec 14, 2018 3:33 PM","cpo_king","It would be of great interest to see which company still in black when CPO hit the bottom level!"
"https://klse.i3investor.com/servlets/forum/800000681.jsp?ftp=110","Dec 14, 2018 3:36 PM","cpo_king","I believe 40 cents is coming soon."
"https://klse.i3investor.com/servlets/forum/800000681.jsp?ftp=110","Dec 14, 2018 3:37 PM","cpo_king","I wouldn't surprise if below 35 cents by mid of 2019!"
"https://klse.i3investor.com/servlets/forum/800000681.jsp?ftp=110","Dec 14, 2018 3:37 PM","cpo_king","Please tracking my forecast!"
"https://klse.i3investor.com/servlets/forum/800000681.jsp?ftp=110","Dec 16, 2018 11:22 AM","Pen6","If, it is 30c someday, no more ""cool eye"" indeed ""blind eye"" is the better call?
You shall be offer cheaper, why buy in, is that smart ?"
"https://klse.i3investor.com/servlets/forum/800000681.jsp?ftp=110","Dec 17, 2018 10:50 AM","PeterNg","CPO price is lower price now."
"https://klse.i3investor.com/servlets/forum/800000681.jsp?ftp=110","Dec 17, 2018 11:20 AM","wiseinvestment","the market is so bad currently. sure lose money if can't hold!"
"https://klse.i3investor.com/servlets/forum/800000681.jsp?ftp=110","Dec 17, 2018 3:07 PM","cpo_king","CPO price for January 2019 below Rm1900/mt....can you believe!!!"
"https://klse.i3investor.com/servlets/forum/800000681.jsp?ftp=110","Dec 17, 2018 3:10 PM","cpo_king","I think currently the price of CPO keeps dropping ahead of the quarterly financial report..
Better staying sideline until price stabilized..."
"https://klse.i3investor.com/servlets/forum/800000681.jsp?ftp=110","Dec 17, 2018 10:29 PM","upsidedown119","Palm oil price just entered long term bear market."
"https://klse.i3investor.com/servlets/forum/800000681.jsp?ftp=110","Dec 18, 2018 10:13 AM","cpo_king","Latest casualty of weak palm oil price is united Malacca recorded operating loss on last quarter...."
"https://klse.i3investor.com/servlets/forum/800000681.jsp?ftp=110","Dec 18, 2018 10:15 AM","cpo_king","Rm0. 40 is coming.. Very likely either this week or next week"
